#TYPE Selected.System.Collections.DictionaryEntry
"Iteration","Response_Time"
"407","156.6"
"408","154.9"
"409","149.9"
"410","156"
"411","171.6"
"412","144.8"
"413","154.1"
"414","163.1"
"415","147.9"
"416","153.7"
"417","155.2"
"418","151.9"
"419","159.8"
"420","158.9"
"421","146.9"
"422","145.6"
"423","157.4"
"424","154.8"
"425","158.6"
"426","174.9"
"427","168.2"
"428","171.6"
"429","157.7"
"430","144.9"
"431","144.5"
"432","153"
"433","146.4"
"434","148.5"
"435","148.7"
"436","178.9"
"437","143.8"
"438","177"
"439","164.1"
"440","146.5"
"441","146.1"
"442","168.6"
"443","145.2"
"444","152"
"445","171.3"
"446","153.4"
"447","146.7"
"448","154.4"
"449","144"
"450","144.4"
"451","170.8"
"452","180.7"
"453","149.6"
"454","153.4"
"455","146.4"
"456","143"
"457","168"
"458","146.3"
"459","149.1"
"460","170.6"
"461","150.8"
"462","145"
"463","143.7"
"464","158"
"465","146.3"
"466","171.5"
"467","170.8"
"468","221.8"
"469","161.9"
"470","157.1"
"471","182.6"
"472","154.8"
"473","160"
"474","175.2"
"475","149.4"
"476","153.7"
"477","146.5"
"478","158.2"
"479","156.6"
"480","150.1"
"481","142.8"
"482","154.8"
"483","158.5"
"484","171.6"
"485","157.8"
"486","148.6"
"487","145.7"
"488","153.6"
"489","176.2"
"490","147.4"
"491","161.2"
"492","174.1"
"493","169"
"494","145.8"
"495","157.4"
"496","143.5"
"497","152.6"
"498","146.5"
"499","174.8"
"500","148.4"
"501","155.3"
"502","154.8"
"503","144.9"
"504","150.3"
"505","143.3"
"506","155.9"
"507","170.7"
"508","156.6"
"509","145.1"
"510","152.2"
"511","143.7"
"512","146.8"
"513","169.5"
"514","185.1"
"515","179.3"
"516","205.6"
"517","159.3"
"518","146.3"
"519","171.9"
"520","191.1"
"521","146.6"
"522","168.5"
"523","161.9"
"524","164.3"
"525","147.4"
"526","151.6"
"527","152.7"
"528","143.9"
"529","154.8"
"530","172.3"
"531","150.7"
"532","150.2"
"533","144.6"
"534","148.7"
"535","156.9"
"536","166.3"
"537","148.4"
"538","155.4"
"539","142.8"
"540","207.9"
"541","152.9"
"542","151"
"543","150"
"544","180.4"
"545","143.9"
"546","158.6"
"547","168"
"548","155.4"
"549","169.3"
"550","150.1"
"551","183.5"
"552","159.1"
"553","153.5"
"554","219.3"
"555","148.4"
"556","150.6"
"557","177.5"
"558","151.7"
"559","144.8"
"560","150.6"
"561","192.7"
"562","160.3"
"563","160.5"
"564","158.3"
"565","145.9"
"566","151.5"
"567","144.4"
"568","164.9"
"569","153"
"570","153"
"571","154.1"
"572","156.4"
"573","146.6"
"574","148.4"
"575","166.3"
"576","162.8"
"577","151"
"578","147.1"
"579","158.7"
"580","154.1"
"581","149.5"
"582","157.9"
"583","159.8"
"584","179.5"
"585","195.6"
"586","142.5"
"587","164.9"
"588","150.8"
"589","156"
"590","152.2"
"591","166"
"592","196.6"
"593","149.2"
"594","158.3"
"595","158"
"596","155.3"
"597","157"
"598","146.6"
"599","150.3"
"600","164.2"
"601","154.6"
"602","154.7"
"603","146.7"
"604","156.6"
"605","164.5"
"606","157.3"
"607","158.8"
"608","180.7"
"609","170.7"
"610","154.6"
"611","145.7"
"612","153.5"
"613","154.2"
"614","168.6"
"615","155.6"
"616","176.4"
"617","166.1"
"618","151.1"
"619","155.2"
"620","153.8"
"621","151.9"
"622","147.4"
"623","154.6"
"624","175.8"
"625","151.7"
"626","147"
"627","152.8"
"628","150.3"
"629","145.3"
"630","164.1"
"631","165.2"
"632","151.7"
"633","152.2"
"634","160.6"
"635","157.9"
"636","147.2"
"637","151.2"
"638","151.1"
"639","152.7"
"640","156.8"
"641","159.7"
"642","138.6"
"643","167.3"
"644","148.2"
"645","148"
"646","153"
"647","171.5"
"648","226.7"
"649","145.4"
"650","151.7"
"651","144.8"
"652","147.7"
"653","157.1"
"654","154.7"
"655","168.6"
"656","189"
"657","163.6"
"658","149.8"
"659","159.4"
"660","158.1"
"661","147.8"
"662","147"
"663","179"
"664","153.5"
"665","151.3"
"666","150.7"
"667","146.8"
"668","145.4"
"669","150"
"670","175.2"
"671","178.3"
"672","157.5"
"673","171.3"
"674","147.2"
"675","150.7"
"676","156.7"
"677","148.3"
"678","159.3"
"679","191.9"
"680","156.7"
"681","174.1"
"682","142.4"
"683","148.4"
"684","155.5"
"685","151"
"686","150.1"
"687","170.1"
"688","152.9"
"689","149.5"
"690","154.1"
"691","151.2"
"692","174.3"
"693","145.5"
"694","163.9"
"695","182.5"
"696","150.2"
"697","155.7"
"698","144.6"
"699","152.2"
"700","152.3"
"701","145"
"702","147.4"
"703","181"
"704","146.9"
"705","172.6"
"706","161.7"
"707","143.7"
"708","146.6"
"709","160.9"
"710","148"
"711","174.9"
"712","170.6"
"713","150.2"
"714","168"
"715","151.6"
"716","152.8"
"717","148.4"
"718","175.9"
"719","165.3"
"720","146.4"
"721","147.9"
"722","159.2"
"723","152.4"
"724","166.3"
"725","159.7"
"726","166"
"727","149.8"
"728","218.7"
"729","150.7"
"730","157.3"
"731","157.1"
"732","165.1"
"733","149.1"
"734","155.8"
"735","146.2"
"736","148.5"
"737","164.6"
"738","145.9"
"739","146"
"740","165.2"
"741","159.1"
"742","167.2"
"743","178.9"
"744","159.7"
"745","154.6"
"746","149.5"
"747","154.9"
"748","143.6"
"749","149.3"
"750","175"
"751","158.2"
"752","149.2"
"753","165.7"
"754","145.4"
"755","148.2"
"756","160.2"
"757","145.6"
"758","142.3"
"759","161.5"
"760","143.8"
"761","147.1"
"762","159"
"763","145.7"
"764","160.7"
